STEM,LEMMA,FORMS...
blag,blag (NN),blag (NN)
blame,blame (n),blame (NN),blames (NNS)
blank,blank (n),blank (NN),blanks (NNS),blankly (RB)
blanket,blanket (v),blanketed (VBN)
blast,blast (n),blast (JJ)
bleak,bleak (VBP),bleak (VBP),bleakly (JJ)
bled,bleed (v),bled (VBD)
bleed,bleeds (NNS),bleeds (NNS)
blend,blend (v),blending (VBG)
bless,blessing (n),blessing (NN),blessed (JJ)
blew,blow (v),blew (VBD)
blind,blind (v),blind (VBP),blindingly (RB),blindly (RB)
blindfold,blindfold (n),blindfold (RB)
blink,blink (v),blinked (VBD),blink (NN)
blister-trunk,blister-trunked (JJ),blister-trunked (JJ)
blith,blithely (RB),blithely (RB)
bloat,bloat (v),bloated (VBD),bloating (VBG)
bloated-look,bloated-looking (JJ),bloated-looking (JJ)
block,blocked (JJ),blocked (JJ),blocks (NNS),block (NN)
blood,blood (n),blood (NN)
blood-typ,blood-type (JJ),blood-type (JJ)
bloodi,bloody (v),bloodied (VBD),bloody (NN)
bloodstream,bloodstream (n),bloodstream (NN)
blot,blot (v),blotting (VBG),blot (NN)
blow,blow (n),blow (NN),blowing (VBG)
blown,blow (v),blown (VBN)
bludgeon,bludgeon (v),bludgeoned (VBD)
blue,blue (n),blue (JJ)
blueprint,blueprint (n),blueprints (NNS)
bluf,bluff (v),bluffing (VBG)
bluff,bluff (n),bluff (NN)
bluish,bluish (JJ),bluish (JJ)
blunder,blunder (v),blunder (VBP)
blunt,blunt (NN),blunt (NN)
blur,blur (v),blurred (VBD)
blurrili,blurrily (RB),blurrily (RB)
blurt,blurt (v),blurted (VBD)
bluster,bluster (n),bluster (NN)
board,board (n),boards (NNS),board (NN)
boarder,boarder (n),boarders (NNS)
boardroom,boardroom (n),boardrooms (NNS)
boast,boast (n),boast (NN),boasts (NNS)
boat,boat (v),boat (VBP)
bodi,body (n),bodies (NNS),body (VBP)
bodiless,bodiless (NN),bodiless (NN)
bodili,bodily (RB),bodily (RB)
body-length,body-lengths (JJ),body-lengths (JJ)
boggl,boggle (v),boggled (VBD)
boil,boil (n),boil (NN),boiled (VBD)
bold,bold (n),bold (JJ),boldly (RB)
boldest,boldest (JJS),boldest (JJS)
bollock,bollock (n),bollocks (NNS)
bolster,bolster (n),bolster (NN)
bolt,bolt (v),bolted (VBN)
bomb,bomb (n),bomb (NN)
bombard,bombard (v),bombarding (VBG),bombardment (NN),bombards (NNS),bombarded (VBD)
bond,bond (n),bonds (NNS),bond (NN)
bone,bone (v),bone (VBP),bones (NNS)
bone-weari,bone-weary (JJ),bone-weary (JJ)
boneless,bonelessly (RB),bonelessly (RB)
boni,bony (NN),bony (NN)
book,book (n),book (NN),books (NNS)
book-lung,book-lungs (NNS),book-lungs (NNS)
boom,boom (v),boomed (VBD),booming (VBG),booms (NNS),boom (NN)
boost,boost (n),boost (NN),boosted (VBD)
boot,boot (n),boots (NNS),boot (NN)
bore,bore (v),bored (VBD),boring (VBG),bore (VBD)
born,borne (JJ),borne (JJ),born (VBP)
borrow,borrowing (n),borrowing (NN)
botch,botch (v),botched (VBD)
both,both (DT),both (DT)
bother,bother (v),bother (VBP),bothered (VBN)
bottom,bottom (n),bottom (NN)
bough,bough (n),boughs (NNS)
bought,buy (v),bought (VBD)
bounc,bounce (v),bounced (VBN),bounces (NNS),bouncing (VBG),bounce (NN)
bounce-back,bounce-back (JJ),bounce-back (JJ)
bound,bound (n),bounds (NNS),bounding (VBG),bound (NN)
boundari,boundary (n),boundary (JJ),boundaries (NNS)
bounti,bounty (n),bounty (NN)
bow,bow (v),bows (VBZ),bowing (VBG)
bowel,bowel (n),bowels (NNS)
bowl,bowl (n),bowls (IN)
box,box (n),box (NN)
boy,boy (n),boy (JJ)
brace,brace (v),bracing (VBG),brace (NN)
braid,braid (v),braided (VBD)
brain,brain (v),brains (VBZ),brain (NN)
brainwash,brainwash (v),brainwashed (VBN)
brake,brake (v),braking (VBG),brake (VBP)
branch,branch (n),branches (NNS),branch (JJ)
brandish,brandish (v),brandished (VBD)
brash,brashness (n),brashness (NN)
brawl,brawl (n),brawl (NN)
brawler,brawler (n),brawlers (NNS)
breach,breach (v),breached (VBN),breach (NN)
breadth,breadth (n),breadth (NN)
break,break (v),breaking (VBG),breaks (NNS),break (NN)
break-down,break-down (JJ),break-down (JJ)
breakout,breakout (n),breakout (NN)
breakthrough,breakthrough (n),breakthrough (IN),breakthroughs (NNS)
breath,breathed (JJ),breathed (JJ),breathes (NNS),breath (IN),breathing (VBG),breathe (NNS)
breathabl,breathable (JJ),breathable (JJ)
breathless,breathlessly (RB),breathlessly (RB)
bred,breed (v),bred (VBD)
breed,breeding (n),breeding (NN),breed (NN)
breez,breeze (n),breeze (JJ)
brenjit,brenjit (NN),brenjit (NN)
brethren,brother (n),brethren (NNS)
brew,brew (v),brewing (VBG),brew (IN)
bribe,bribe (v),bribing (VBG)
bride,bride (n),bride (IN)
bridg,bridge (v),bridged (VBN),bridges (NNS),bridge (VBP)
bridge-build,bridge-building (VBG),bridge-building (VBG)
bridgework,bridgework (n),bridgework (NN)
brief,brief (n),brief (NN),briefing (NN),briefed (VBD)
briefli,briefly (VBP),briefly (VBP)
bright,brightness (n),brightness (NN),brightly (RB),bright (JJ)
brighten,brighten (v),brightened (VBD)
brighter,brighter (RBR),brighter (RBR)
brillianc,brilliance (n),brilliance (NN)
brilliant,brilliant (NN),brilliant (NN)
brim,brim (n),brim (JJ)
brin,brin (NN),brin (NN)
brindl,brindling (VBG),brindling (VBG)
bring,brings (NNS),brings (NNS),bring (VBG),bringing (VBG)
brink,brink (VBP),brink (VBP)
brisk,briskly (NN),briskly (NN),brisk (JJ)
brist,bristly (RB),bristly (RB)
bristl,bristle (v),bristling (VBG)
british,british (n),british (JJ)
brittl,brittle (n),brittle (NN)
broach,broach (v),broached (VBD)
broad,broad (n),broad (JJ),broadly (RB)
broad-frequ,broad-frequency (NN),broad-frequency (NN)
broadcast,broadcast (n),broadcast (NN),broadcasts (VBZ),broadcasting (VBG)
broader,broader (JJR),broader (JJR)
broil,broil (v),broiling (VBG)
broke,break (v),broke (VBD)
broken,broken (JJ),broken (JJ)
brood,brood (n),brood (NN)
brook,brook (n),brook (NN)
brother,brother (n),brothers (NNS)
brought,bring (v),brought (VBD)
brown,brown (n),brown (JJ)
bruis,bruise (v),bruises (VBZ)
brush,brush (n),brush (NN)
brutal,brutal (JJ),brutal (JJ),brutally (RB)
brute,brute (n),brute (NN)
brute-forc,brute-force (JJ),brute-force (JJ)
bubbl,bubble (n),bubbles (NNS),bubble (JJ)
buck,bucked (JJ),bucked (JJ)
buckl,buckle (v),buckled (VBN)
bud,bud (v),buds (VBP),budded (VBD)
bug,bug (n),bugs (NNS),bug (NN)
buggeri,buggery (n),buggery (NN)
build,build (v),builds (VBZ),buildings (NNS),building (NN),build (JJ)
builder,builder (n),builder (NN)
building-s,building-sized (JJ),building-sized (JJ)
built,build (v),built (VBN)
bulb,bulb (n),bulb (NN)
bulbous,bulbous (JJ),bulbous (JJ)
bulg,bulge (v),bulging (VBG)
bulk,bulk (n),bulk (NN),bulked (VBD),bulks (NNS)
bulki,bulky (NN),bulky (NN)
bullet,bullet (n),bullets (NNS)
bulletproof,bulletproof (NN),bulletproof (NN)
bulli,bully (v),bullying (VBG)
bumbl,bumble (v),bumbling (VBG)
bump,bump (v),bump (VB)
bun,bun (n),bun (JJ)
bunch,bunch (n),bunch (JJ),bunching (VBG),bunched (VBN)
bundl,bundle (v),bundled (VBD),bundle (NN)
buoyanc,buoyancy (n),buoyancy (NN)
buoyant,buoyant (JJ),buoyant (JJ)
burden,burden (n),burden (NN)
burgeon,burgeon (v),burgeoning (VBG)
buri,bury (v),buried (VBN),bury (NN)
burn,burn (v),burned (VBD),burns (NNS),burn (NN),burning (NN)
burnt-out,burnt-out (JJ),burnt-out (JJ)
burrow,burrow (n),burrows (NNS)
burst,bursting (NN),bursting (NN),burst (NN)
busi,business (n),business (NN),busy (JJ)
bustl,bustle (n),bustle (NN),bustling (VBG)
but,but (CC),but (CC)
butcher,butcher (v),butcher (VBP),butchers (NNS)
button,button (n),button (NN)
buy,buy (v),buy (VB),buying (VBG)
buzz,buzzing (NN),buzzing (NN)
bypass,bypassed (JJ),bypassed (JJ)
cabin,cabin (n),cabin (NN)
cach,cache (n),caches (NNS)
cacophon,cacophonic (JJ),cacophonic (JJ)
cadr,cadre (n),cadre (NN)
cage,cage (v),caged (VBN),cage (NN)
cain,cain (n),cain (NN)
calcul,calculate (v),calculated (VBN),calculating (VBG),calculations (NNS),calculation (NN),calculate (JJ)
calibr,calibre (n),calibre (NN),calibrated (VBD)
call,call (v),calls (VBZ),called (VBD),calling (VBG),call (NN)
caller,caller (n),caller (NN)
calm,calm (n),calms (NN),calmly (RB),calming (VBG),calm (JJ)
calmer,calmer (NN),calmer (NN)
came,come (v),came (VBD)
camera,cameras (VBP),cameras (VBP),camera (NN)
camp,camp (v),camp (VBP)
campaign,campaign (n),campaign (NN),campaigning (VBG)
can,can (n),can (MD)
cancel,cancel (v),cancelling (VBG)
candid,candidate (n),candidates (NNS)
candl,candle (n),candle (JJ)
candour,candour (n),candour (JJ)
canist,canister (n),canister (JJ)
cannib,cannibal (n),cannibals (NNS),cannibalism (NN),cannibal (NN)
canopi,canopy (n),canopy (NN),canopies (NNS)
canteen,canteen (n),canteen (JJ)
canvass,canvas (n),canvass (NN)
cap,cap (n),cap (NN)
capabl,capable (JJ),capable (JJ),capabilities (NNS)
capac,capacity (n),capacity (NN)
caparison,caparison (v),caparisoned (VBN)
capitul,capitulates (NNS),capitulates (NNS)
capsul,capsule (v),capsuled (VBD),capsules (NNS),capsule (NN)
capsule-run,capsule-runs (NNS),capsule-runs (NNS)
captain,captain (n),captain (NN)
captiv,captivity (n),captivity (NN),captive (JJ)
captor,captor (n),captors (NNS)
captur,captured (JJ),captured (JJ),capture (JJ)
car,car (n),car (NN)
carabin,carabinered (VBD),carabinered (VBD)
carapac,carapace (n),carapaces (NNS),carapace (NN)
caravan,caravan (n),caravans (NNS)
card,card (n),card (NN),cards (NNS)
care,care (n),cares (NNS),care (VBP),carefully (RB),careful (JJ),cared (VBN)
career,career (n),career (NN)
cargo,cargo (n),cargo (JJ)
carnivor,carnivore (n),carnivores (NNS)
carpet,carpet (n),carpet (NN)
carpet-lik,carpet-like (NN),carpet-like (NN)
carri,carry (v),carrying (VBG),carry (VBP),carried (VBD),carries (VBZ)
cartilag,cartilage (n),cartilage (NN)
carv,carve (v),carved (VBN),carve (NN)
cascad,cascade (n),cascade (NN),cascading (VBG),cascades (NNS)
case,case (n),case (NN),cases (NNS)
cast,cast (n),cast (JJ),caste (NN),castes (NNS)
casual,casual (JJ),casual (JJ)
cataclysm,cataclysm (n),cataclysm (NN)
catalogu,catalogue (v),catalogued (VBN),catalogue (NN),cataloguing (VBG)
catalyst,catalyst (n),catalysts (NNS),catalyst (VBP)
catastroph,catastrophic (JJ),catastrophic (JJ),catastrophe (NN)
catch,catch (n),catch (NN),catches (NNS),catching (NN)
catch-up,catch-up (JJ),catch-up (JJ)
cathedr,cathedral (n),cathedral (JJ)
caught,caught (JJ),caught (JJ)
caus,cause (v),cause (VB),causes (NNS),causing (NN),caused (JJ)
caustic,caustic (n),caustic (JJ)
caution,caution (n),caution (NN),cautioned (VBD),cautions (NNS)
cautious,cautiously (RB),cautiously (RB),cautious (JJ)
cave,cave (n),caves (NNS)
cavern,cavernous (JJ),cavernous (JJ)
ceas,ceased (JJ),ceased (JJ),ceasing (NN),ceases (NNS),cease (NN)
ceaseless,ceaseless (NN),ceaseless (NN)
ceil,ceiling (n),ceiling (NN),ceilings (VBP)
celebr,celebrity (n),celebrity (NN),celebrated (VBD)
celesti,celestial (JJ),celestial (JJ)
cell,cell (n),cells (NNS),cell (NN)
censur,censure (v),censuring (VBG)
cent,cent (n),cent (NN)
centimetr,centimetres (VBZ),centimetres (VBZ)
centr,centre (n),centre (NN),centres (NNS)
central,central (n),central (JJ)
centripet,centripetal (NN),centripetal (NN)
centuri,century (n),centuries (NNS),century (NN)
centuries-old,centuries-old (JJ),centuries-old (JJ)
century-ago,century-ago (JJ),century-ago (JJ)
ceremoni,ceremonial (n),ceremonial (NN)
certain,certain (JJ),certain (JJ),certainly (RB)
certainti,certainty (n),certainty (JJ)
cessat,cessation (n),cessation (NN)
chaff,chaff (n),chaff (NN)
chain,chain (n),chains (NNS),chain (NN),chaining (VBG)
chair,chair (n),chair (JJ)
challeng,challenge (v),challenged (VBD),challengingly (RB),challenging (VBG),challenge (NN),challengers (NNS)
chamber,chamber (n),chambers (NNS),chamber (NN)
champion,champion (n),champions (NNS)
chanc,chance (n),chance (NN),chances (NNS)
chance-deriv,chance-derived (JJ),chance-derived (JJ)
chang,change (n),changes (NNS),changing (VBG),changed (VBD),change (NN)
channel,channel (v),channelled (VBD),channelling (VBG),channel (VBP),channels (NNS)
chao,chaos (n),chaos (NN)
chaotic,chaotic (JJ),chaotic (JJ)
char,char (v),charred (VBD)
charact,character (n),characters (NNS),character (VBP)
characterist,characteristic (n),characteristics (NNS)
charcoal,charcoal (n),charcoal (NN)
charg,charge (n),charges (NNS),charging (VBG),charge (VBP)
chase,chase (n),chase (NN),chased (VBD)
chasm,chasm (n),chasm (NN)
check,check (v),checking (VBG),checks (NNS),check (VBP),checked (VBD)
checklist,checklist (VBP),checklist (VBP)
cheek,cheek (v),cheek (VBP),cheeks (NN)
cheekbon,cheekbone (n),cheekbones (NNS)
cheer,cheer (v),cheer (VB)
chemic,chemical (n),chemical (NN),chemicals (NNS),chemically (RB)
chemist,chemist (n),chemists (NNS),chemist (NN)
chemistri,chemistry (n),chemistry (NN)
chequerboard,chequerboard (NN),chequerboard (NN)
chest,chest (n),chest (JJS)
chew,chew (v),chewing (VBG)
chief,chief (n),chiefs (NNS),chief (JJ)
child,child (n),child (NN)
childish,childish (NN),childish (NN)
children,child (n),children (NNS)
chill,chill (v),chilled (VBD),chill (NN)
chilli,chilly (n),chilly (RB)
chime,chime (v),chimed (VBN)
chimera,chimera (n),chimera (NN)
chimney,chimney (n),chimneys (NNS)
chin,chin (n),chin (RB)
chip,chip (v),chipping (VBG)
chitin,chitin (n),chitin (NN),chitinous (JJ)
chivvi,chivy (v),chivvying (VBG)
choic,choice (n),choice (NN)
choke,choke (v),choke (VBP),choked (VBN),choking (VBG)
choos,choosing (NN),choosing (NN),choose (RB),chooses (VBZ)
chop,chop (v),chopped (VBD)
chore,chore (VBP),chore (VBP)
chorus,chorus (n),chorus (NN)
chose,choose (v),chose (VBD)
chosen,choose (v),chosen (VBN)
chromatopor,chromatopores (NNS),chromatopores (NNS),chromatopore (VBP)
chronicl,chronicle (n),chronicles (NNS)
chunk,chunk (v),chunks (VBP)
church,church (n),church (NN)
chute,chute (n),chutes (NNS)
cip,cip (NN),cip (NN)
circl,circle (n),circle (NN),circling (NN)
circuit,circuitous (JJ),circuitous (JJ),circuit (NN)
circul,circulation (n),circulation (NN)
circular,circular (n),circular (JJ)
circulatori,circulatory (NN),circulatory (NN)
circumfer,circumference (n),circumference (NN)
circumst,circumstance (n),circumstances (NNS)
circumv,circumvent (v),circumventing (VBG)
citi,city (n),cities (NNS),city (NN)
citizen,citizen (n),citizens (NNS),citizen (JJ)
civic,civic (JJ),civic (JJ)
civil,civilize (v),civilizing (VBG),civilizations (NNS),civilized (JJ),civilization (NN),civil (JJ)
civilian,civilian (n),civilian (JJ),civilians (NNS)
clack,clacking (NN),clacking (NN)
clad,cladding (VBG),cladding (VBG),clad (JJ)
claim,claim (n),claims (NNS),claiming (VBG),claimed (VBD),claim (NN)
clamber,clamber (v),clambering (VBG),clambered (VBD),clamber (VB)
clamour,clamour (v),clamouring (VBG)
clan,clan (n),clans (NNS),clan (NN)
clap,clap (v),clapped (VBD)
clarif,clarification (n),clarification (NN)
clarifi,clarify (v),clarified (VBN),clarify (NN)
clariti,clarity (n),clarity (NN)
clash,clash (v),clash (VBP),clashed (VBN),clashing (VBG)
clasp,clasp (v),clasped (VBD)
class,class (n),classes (NNS)
classic,classical (n),classical (JJ)
classicist,classicist (n),classicist (NN),classicists (NNS)
classifi,classify (v),classified (VBD)
clatter,clatter (n),clatter (NN),clattering (VBG)
claustrophob,claustrophobic (JJ),claustrophobic (JJ)
claustrophobia,claustrophobia (n),claustrophobia (JJ)
claw,claw (v),clawing (VBG),clawed (VBN),claw (NN),claws (NN)
clean,clean (n),clean (JJ),cleaned (VBN)
cleaner,cleaner (VBP),cleaner (VBP)
cleans,cleanse (v),cleansing (VBG)
clear,clear (n),clear (JJ),clearly (RB),clearing (VBG),cleared (VBD)
clearanc,clearance (n),clearance (NN)
clearer,clearer (NN),clearer (NN)
clearest,clearest (NN),clearest (NN)
clench,clench (n),clenches (NNS),clenched (VBN),clenching (VBG),clench (NN)
clever,clever (JJ),clever (JJ),cleverness (NN),cleverly (RB)
cleverest,cleverest (NN),cleverest (NN)
click,clicked (JJ),clicked (JJ)
climax,climax (n),climax (NN)
climb,climb (v),climbing (VBG),climbed (VBD),climb (NN),climbs (NNS)
cling,cling (v),clinging (VBG),cling (VBG)
clinician,clinician (n),clinician (JJ)
clip,clip (n),clip (NN),clipped (VBD)
cliqu,clique (n),cliques (NNS),clique (NN)
clomp,clomping (NN),clomping (NN)
close,close (v),closed (VBD),close (NN),closely (RB),closeness (NN),closing (NN)
close-pack,close-packed (JJ),close-packed (JJ)
close-rang,close-range (JJ),close-range (JJ)
close-woven,close-woven (JJ),close-woven (JJ)
close-written,close-written (JJ),close-written (JJ)
closer,closer (n),closer (NN)
closest,closest (VBP),closest (VBP)
closet,closet (n),closet (NN)
cloth,cloth (n),cloth (NNS),clothes (NNS)
cloud,clouded (JJ),clouded (JJ),clouds (VBP),cloud (NN)
cloudi,cloudy (JJ),cloudy (JJ)
clown,clown (v),clowns (VBP)
club,club (n),club (NN),clubs (NNS)
clue,clue (n),clues (NNS),clueing (VBG),clue (JJ)
clumsi,clumsy (JJ),clumsy (JJ),clumsiness (NN)
clumsili,clumsily (RB),clumsily (RB)
clung,clung (NN),clung (NN)
cluster,clustered (JJ),clustered (JJ)
clutch,clutch (v),clutched (VBN),clutches (NNS),clutch (NN),clutching (VBG)
clutter,clutter (v),cluttered (VBN)
co-depend,co-dependent (JJ),co-dependent (JJ)
co-opt,co-option (n),co-option (JJ),co-opting (JJ),co-opts (NNS)
coach,coached (JJ),coached (JJ)
coal,coal (n),coal (NN)
coalesc,coalesce (v),coalescing (VBG)
coars,coarse (NN),coarse (NN)
coast,coast (n),coast (NN),coasting (VBG),coasted (VBD)
coat,coat (v),coating (VBG),coated (VBD),coats (NNS)
coat-tail,coat-tails (JJ),coat-tails (JJ)
cock,cock (v),cocked (VBD)
cocoon,cocoon (v),cocooning (VBG),cocoon (NN)
code,code (n),code (NN),coded (VBD),codes (NNS)
code-pheromon,code-pheromone (NN),code-pheromone (NN)
coffin,coffin (v),coffin (VBP),coffins (VBZ)
coffin-shap,coffin-shaped (JJ),coffin-shaped (JJ)
cognit,cognitive (JJ),cognitive (JJ)
coher,coherently (RB),coherently (RB)
cohort,cohort (n),cohorts (NNS)
coil,coil (n),coils (NNS),coiled (VBD)
coincid,coincidence (n),coincidence (NN)
coincident,coincidental (JJ),coincidental (JJ)
coitus,coitus (n),coitus (NN)
cold,coldly (RB),coldly (RB),cold (JJ)
cold-sleep,cold-sleep (JJ),cold-sleep (JJ)
colder,colder (NN),colder (NN)
collaps,collapse (n),collapses (NNS),collapsed (VBN),collapse (NN),collapsing (VBG)
collar,collar (n),collar (NN)
colleagu,colleague (VBP),colleague (VBP),colleagues (NNS)
collect,collection (n),collection (NN),collective (JJ)
collis,collision (n),collision (NN)
collus,collusion (n),collusion (NN)
colon,colonize (v),colonized (VBN)
coloni,colony (n),colony (NN),colonies (NNS)
colonist,colonist (n),colonists (NNS)
colony-complex,colony-complex (JJ),colony-complex (JJ)
colony-specif,colony-specific (JJ),colony-specific (JJ)
coloss,colossally (RB),colossally (RB),colossal (NN)
colour,colouration (n),colouration (NN),colour (NN),coloured (VBD),colours (NNS)
column,column (n),column (JJ)
com,com (NN),com (NN)
combat,combat (n),combat (NN)
combin,combination (n),combination (NN),combined (VBN),combines (NNS)
combustion-bas,combustion-based (JJ),combustion-based (JJ)
come,come (v),come (VBN),coming (VBG),comes (VBZ),comings (NNS)
comeback,comeback (VBP),comeback (VBP)
comedi,comedy (n),comedy (NN)
comfort,comfortably (RB),comfortably (RB),comfortable (JJ),comforts (NNS),comforting (VBG),comfort (NN)
comm,comms (NN),comms (NN)
command,command (n),commands (NNS),commanded (VBN),commander (VBP),command (NN)
commenc,commence (v),commenced (VBD),commence (NN)
comment,comment (v),commented (VBD),comment (NN)
commit,commits (NNS),commits (NNS),committed (VBN),commit (NN),committing (NN)
committe,committee (n),committees (NNS),committee (NN)
commod,commodity (n),commodities (NNS),commodity (NN)
common,common (n),common (JJ),commonly (RB),commonality (NN)
commot,commotion (n),commotion (NN)
communal,communal (JJ),communal (JJ)
communic,communicate (v),communicates (VBZ),communicated (JJ),communicate (NN),communications (NNS),communication (NN),communicating (VBG)
communion,communion (n),communion (NN)
communiti,community (n),communities (NNS),community (NN)
compact,compact (n),compact (JJ)
compani,company (n),companies (NNS),company (NN)
companion,companion (n),companions (NNS),companion (NN),companionable (JJ)
compar,comparative (n),comparative (JJ),comparing (VBG),compare (VBP),compares (NNS),compared (VBN),comparable (JJ)
