STEM,LEMMA,FORMS...
slumber,slumber (v),slumbering (VBG),slumber (NN),slumbered (VBD)
slump,slump (v),slumped (VBD)
slung,slung (NN),slung (NN)
slur,slurred (JJ),slurred (JJ)
slurri,slurry (VBP),slurry (VBP)
slut,slut (n),slut (JJ)
slyli,slyly (JJ),slyly (JJ)
small,small (n),small (JJ)
small-fram,small-framed (JJ),small-framed (JJ)
small-talk,small-talk (NN),small-talk (NN)
smaller,smaller (JJR),smaller (JJR)
smart,smart (v),smarting (VBG),smart (JJ)
smarten,smarten (VBP),smarten (VBP)
smash,smash (v),smash (VB),smashed (VBD),smashing (VBG)
smear,smear (v),smeared (VBD)
smell,smell (n),smell (NN),smelling (VBG)
smelt,smelt (v),smelting (VBG),smelt (NN)
smile,smile (v),smiled (VBD),smile (NN),smiling (VBG)
smoke,smoking (n),smoking (NN),smoke (NN)
smooth,smooth (n),smooth (NN),smoothly (RB)
smother,smother (v),smothering (VBG),smothered (VBD)
snag,snag (v),snagged (VBD),snag (NN),snagging (VBG)
snake,snake (n),snakes (NNS)
snap,snap (n),snap (JJ),snapping (VBG),snapped (VBD)
snapshot,snapshot (n),snapshot (JJ)
snare,snare (v),snare (VBP)
sneak,sneak (n),sneak (JJ)
snide,snide (NN),snide (NN)
snif,sniff (v),sniffing (VBG)
snuf,snuffed (JJ),snuffed (JJ),snuffing (VBG)
soar,soar (v),soared (VBD)
sob,sob (v),sobbing (VBG)
sober,soberly (JJ),soberly (JJ)
social,social (n),social (JJ)
societ,societal (NN),societal (NN)
societi,society (n),society (NN)
sock,sock (n),sock (NN)
socket,socket (n),sockets (NNS)
sod,sod (n),sod (NN)
soft,soft (JJ),soft (JJ),softly (RB)
soil,soil (v),soiled (VBN),soil (NN)
solac,solace (n),solace (NN)
solar,solar (JJ),solar (JJ)
sold,sell (v),sold (VBN)
soldier,soldier (n),soldiers (NNS)
sole,solely (RB),solely (RB),sole (VBP)
solemn,solemn (NN),solemn (NN),solemnly (RB)
solicit,solicit (v),solicited (VBN)
solid,solid (n),solid (JJ),solidly (RB)
solidar,solidarity (n),solidarity (NN)
solitari,solitary (n),solitary (JJ)
solut,solution (n),solutions (NNS),solution (NN)
solv,solve (v),solved (VBD),solve (VBP)
some,some (DT),some (DT)
somebodi,somebody (n),somebody (NN)
somehow,somehow (RB),somehow (RB)
someon,someone (n),someone (NN)
someth,something (NN),something (NN)
sometim,sometimes (RB),sometimes (RB)
somewhat,somewhat (RB),somewhat (RB)
somewher,somewhere (n),somewhere (RB)
son,son (VBP),son (VBP)
song,song (n),songs (NNS),song (NN)
soon,soon (RB),soon (RB)
sooner,sooner (n),sooner (RB)
sooth,soothe (v),soothing (VBG),soothe (JJ)
sophist,sophistication (n),sophistication (NN),sophisticated (JJ)
soror,sorority (n),sorority (NN)
sorri,sorry (JJ),sorry (JJ)
sort,sort (n),sorts (NNS),sort (JJ)
sotto,sotto (NN),sotto (NN)
sought,sought (NN),sought (NN)
sought-for,sought-for (JJ),sought-for (JJ)
sound,sound (n),sounds (NNS),sounding (VBG),sounded (VBN),sound (NN)
soundless,soundless (NN),soundless (NN)
soup,soup (n),soups (NNS),soup (NN)
sour,sourly (RB),sourly (RB),sour (JJ)
sourc,source (n),sources (NNS),source (NN)
spa,spa (n),spa (NNS)
space,space (n),space (NN),spaces (NNS),spaced (VBD)
space-ag,space-age (JJ),space-age (JJ)
space-far,space-farers (NNS),space-farers (NNS)
space-god,space-gods (NNS),space-gods (NNS),space-god (JJ)
space-spid,space-spiders (NNS),space-spiders (NNS)
spacecraft,spacecraft (n),spacecraft (JJ)
spacefar,spacefaring (VBG),spacefaring (VBG)
spacefleet,spacefleet (NN),spacefleet (NN)
spacego,spacegoing (NN),spacegoing (NN)
spaceman,spaceman (n),spaceman (JJ)
spaceship,spaceship (n),spaceship (NN)
spacesuit,spacesuit (n),spacesuits (NNS)
spacious,spacious (JJ),spacious (JJ)
span,span (n),span (NN)
spar,spar (n),spar (NN)
spare,spar (v),spared (VBD),spare (JJ)
spark,spark (v),sparked (VBD),sparks (VBZ),spark (NN)
spars,sparse (NN),sparse (NN)
spasm,spasm (n),spasms (NNS),spasm (VB),spasming (VBG)
spasmod,spasmodically (RB),spasmodically (RB),spasmodic (JJ)
spat,spat (n),spat (JJ)
spatial,spatial (JJ),spatial (JJ)
spawn,spawn (v),spawned (VBD)
speak,speak (v),speaking (VBG),speaks (NNS),speak (JJ)
speaker,speaker (n),speaker (NN),speakers (NNS)
spear,spear (n),spears (JJ)
speci,specie (n),species (NNS)
special,specialize (v),specialized (VBD),specialities (NNS),specializes (NNS),speciality (NN),special (JJ)
specialist,specialist (n),specialist (NN),specialists (NNS)
specif,specifically (RB),specifically (RB),specific (JJ),specifics (NNS),specificity (NN)
specifi,specify (JJ),specify (JJ)
specimen,specimen (n),specimen (NNS)
speck,speck (v),speck (VBP)
spectr,spectre (n),spectre (NN)
spectrograph,spectrographic (JJ),spectrographic (JJ)
spectrum,spectrum (n),spectrum (NN)
specul,speculation (n),speculation (NN),speculate (NN),speculated (VBN),speculating (VBG),speculative (JJ)
speech,speech (VBP),speech (VBP)
speed,speed (v),speeding (VBG),speed (NN)
spell,spell (n),spells (NNS)
spend,spend (v),spends (VBZ),spending (VBG),spend (NN)
spent,spent (JJ),spent (JJ)
sperm,sperm (n),sperm (RB)
spew,spew (v),spewing (VBG)
sphere,sphere (n),sphere (RB)
spi,spy (n),spy (NN),spies (NNS)
spider,spider (n),spiders (NNS),spider (RBR)
spider-,spider-eating (JJ),spider-eating (JJ)
spider-god,spider-god (JJ),spider-god (JJ)
spider-kil,spider-killers (NNS),spider-killers (NNS)
spider-l,spider-lings (NNS),spider-lings (NNS)
spider-silk,spider-silk (NN),spider-silk (NN)
spiderl,spiderlings (NNS),spiderlings (NNS)
spike,spike (v),spike (VBP),spiked (VBD)
spill,spill (n),spills (NNS),spilling (VBG)
spin,spin (n),spins (NNS),spin (VBP),spinning (NN)
spine,spine (n),spine (NN)
spini,spiny (JJ),spiny (JJ)
spinneret,spinnerets (NNS),spinnerets (NNS)
spiral,spiral (n),spiral (JJ),spiralling (NN)
spire,spire (n),spire (NN)
spirit,spirit (n),spirit (NN),spirits (NNS)
spit,spit (v),spitting (VBG),spit (NN)
spitter,spitter (n),spitters (NNS),spitter (NN)
splash,splash (v),splashing (VBG),splash (NN)
splay,splay (v),splayed (VBD)
splendour,splendour (VBP),splendour (VBP)
splinter,splinter (n),splinters (NNS)
split,split (n),split (NN),splits (NNS),splitting (VBG)
splutter,splutter (v),spluttered (VBD)
spoil,spoil (v),spoiled (VBD)
spoke,speak (v),spoke (VBD)
spoken,spoken (JJ),spoken (JJ)
spontan,spontaneously (RB),spontaneously (RB)
spook,spook (n),spook (NN)
spool,spool (n),spools (JJ)
spoon,spoon (v),spooned (VBD)
sporad,sporadically (RB),sporadically (RB),sporadic (JJ)
spore,spore (n),spores (NNS),spore (NN)
sport,sport (n),sport (NN)
spot,spot (v),spotted (VBN),spots (NNS),spot (RBR)
spotter,spotter (n),spotters (NNS)
spouse-slay,spouse-slaying (JJ),spouse-slaying (JJ)
sprang,sprang (NN),sprang (NN)
sprawl,sprawl (v),sprawling (VBG)
spray,spray (n),sprays (NNS),sprayed (JJ),spraying (VBG),spray (VBP)
spread,spread (n),spread (NN),spreading (VBG),spreads (NNS)
spring,spring (n),spring (NN),springs (NNS),springing (VBG)
spring-trap,spring-traps (JJ),spring-traps (JJ)
springi,springy (NN),springy (NN)
springlin,springlines (NNS),springlines (NNS)
sprout,sprout (n),sprout (IN)
sprung,sprung (JJ),sprung (JJ)
spun,spun (NN),spun (NN)
spur,spur (v),spurs (VBP),spur (VBP)
sputter,sputter (v),sputtering (VBG)
squabbl,squabbling (NN),squabbling (NN),squabble (JJ)
squad,squad (n),squad (JJ),squads (NNS)
squad-mat,squad-mates (JJ),squad-mates (JJ)
squalor,squalor (n),squalor (NN)
squar,square (n),square (NN)
squash,squash (n),squash (NN)
squat,squat (n),squats (NNS),squat (NN)
squatter,squatter (n),squatters (NNS)
squeez,squeeze (n),squeeze (NN)
squint,squint (v),squinted (VBD)
squirm,squirm (v),squirming (VBG)
sssssstill,sssssstill (JJ),sssssstill (JJ)
stab,stab (v),stabbed (VBD),stab (NN),stabbing (VBG)
stabil,stabilize (v),stabilized (VBN),stabilize (NN)
stabl,stable (n),stable (JJ)
stabli,stably (RB),stably (RB)
staccato,staccato (NN),staccato (NN)
stage,stag (v),stages (VBZ),stage (NN)
stage-fight,stage-fighting (JJ),stage-fighting (JJ)
stage-set,stage-setting (JJ),stage-setting (JJ)
stagger,stagger (n),staggers (NNS),staggering (JJ),staggered (VBD),stagger (JJR)
stake,stake (n),stakes (NNS),stake (NN)
stalk,stalk (v),stalked (VBD),stalking (VBG)
stamina,stamen (n),stamina (JJ)
stammer,stammering (NN),stammering (NN)
stamp,stamp (n),stamp (NN),stamping (VBG),stamps (JJ),stamped (VBD)
stanc,stance (n),stance (NN)
stand,stand (n),stand (NN),standings (NNS),stands (NNS),standing (VBG)
stand-off,stand-off (JJ),stand-off (JJ)
standard,standard (n),standards (NNS),standard (NN)
stank,stank (JJ),stank (JJ)
star,star (n),star (NN),stars (NNS)
star-creatur,star-creatures (JJ),star-creatures (JJ)
star-field,star-field (JJ),star-field (JJ)
star-span,star-spanning (JJ),star-spanning (JJ)
stare,stare (n),stares (NNS),stare (JJ),stared (VBD),staring (VBG)
starfield,starfield (NN),starfield (NN)
stark,stark (JJ),stark (JJ)
start,start (n),start (NN),starting (VBG),starts (NNS),started (VBD)
starter,starter (n),starter (JJ)
startl,startle (v),startling (VBG),startled (VBD)
starv,starve (v),starving (VBG),starve (VBP)
starvat,starvation (VBP),starvation (VBP)
stasi,stasis (n),stasis (NN)
state,state (n),states (NNS),stating (VBG),state (NN),stated (VBN)
statement,statement (n),statements (NNS)
static,static (n),static (JJ)
static-spik,static-spiked (JJ),static-spiked (JJ)
station,station (n),station (NN),stations (NNS)
stationary-stil,stationary-still (NN),stationary-still (NN)
statue-stil,statue-still (JJ),statue-still (JJ)
status,status (n),status (NN)
stave,stave (v),stave (VB)
stay,stay (n),stays (NNS),stay (NN)
steadi,steady (n),steady (JJ)
steadili,steadily (RB),steadily (RB)
steal,steal (n),steal (JJ),stealing (VBG)
stealthi,stealthy (JJ),stealthy (JJ)
steam,steam (n),steam (NN)
steel,steel (v),steeling (VBG),steeled (VBD)
steeli,steely (RB),steely (RB)
steep,steep (v),steeped (VBD),steep (JJ)
steep-sid,steep-sided (JJ),steep-sided (JJ)
steer,steer (v),steering (VBG)
stencil,stencil (v),stencilled (VBD)
step,stepped (JJ),stepped (JJ),stepping (VBG),steps (NNS),step (NN)
step-by-step,step-by-step (JJ),step-by-step (JJ)
step-vibr,step-vibration (NN),step-vibration (NN)
steril,sterilize (NN),sterilize (NN)
stern,stern (n),stern (JJ)
steward,steward (n),steward (NN)
stewart,stewart (n),stewart (NN)
stick,stick (n),stick (NN),sticking (VBG)
sticki,sticky (JJ),sticky (JJ)
stiff,stiffness (n),stiffness (NN)
stiffen,stiffen (v),stiffening (VBG)
stiffli,stiffly (VBP),stiffly (VBP)
stifl,stifle (v),stifled (VBN)
stigmata,stigma (n),stigmata (NNS)
still,still (n),stills (NNS),stilled (VBD),stillness (JJ),still (RB)
still-liv,still-living (VBG),still-living (VBG)
stillborn,stillborn (VBP),stillborn (VBP)
stimul,stimulate (NN),stimulate (NN)
stimuli,stimulus (n),stimuli (JJ)
stimulus,stimulus (n),stimulus (NN)
sting,sting (v),sting (VBG)
stinger,stinger (n),stingers (NNS)
stink,stink (v),stinking (VBG)
stint,stint (n),stint (NN)
stir,stir (v),stirred (VBD),stirring (VBG),stir (VBP)
stock,stock (n),stock (NN)
stock-stil,stock-still (JJ),stock-still (JJ)
stoic,stoic (n),stoic (NN)
stoke,stoke (v),stoking (VBG)
stole,steal (v),stole (VBD)
stolen,steal (v),stolen (VBN)
stomach,stomach (n),stomach (NN)
stomatopod,stomatopod (n),stomatopods (NNS),stomatopod (VBD)
stone,stone (n),stones (NNS),stone (NN)
stonili,stonily (RB),stonily (RB)
stood,stand (v),stood (VBD)
stop,stop (v),stops (VB),stop (NN),stopped (VBD),stopping (VBG)
stop-mot,stop-motion (NN),stop-motion (NN)
storag,storage (n),storage (NN)
store,store (v),stored (VBN),stores (NNS),store (NN)
storeroom,storeroom (VB),storeroom (VB)
stori,story (n),stories (NNS),story (NN)
storm,storm (n),storm (NN),storming (VBG)
storytel,storyteller (n),storytellers (NNS)
stowaway,stowaway (n),stowaways (NNS)
straggler,straggler (n),stragglers (NNS)
straight,straight (n),straight (NN)
straight-out,straight-out (JJ),straight-out (JJ)
strain,strained (JJ),strained (JJ),strain (NN),strains (NNS),straining (VBG)
strand,strand (n),strand (NN),strands (NNS)
strang,strangely (RB),strangely (RB),strange (JJ)
stranger,stranger (n),strangers (NNS),stranger (NN)
strangl,strangle (v),strangled (VBD)
strap,strap (n),straps (NNS),strapped (VBD)
strategi,strategy (n),strategies (NNS),strategy (NN)
stray,stray (n),stray (NN),strayed (VBN),straying (VBG)
streak,streak (v),streak (VBP),streaked (VBD),streaking (VBG)
streaki,streaky (JJ),streaky (JJ)
stream,stream (n),stream (NN),streamed (VBD)
stream-of-consci,stream-of-consciousness (JJ),stream-of-consciousness (JJ)
streamlin,streamline (v),streamlining (VBG)
street,street (n),streets (NNS)
strength,strength (n),strength (NN),strengths (NNS)
strengthen,strengthen (v),strengthened (VBD),strengthen (VBP)
stress,stress (n),stresses (NNS),stressed (VBD)
stretch,stretch (n),stretch (NN),stretches (NNS),stretched (VBD),stretching (VBG)
strewn,strewn (NN),strewn (NN)
strict,strictly (RB),strictly (RB),strict (JJ)
stride,stride (n),stride (NN)
strike,strike (n),strike (NN),strikes (NNS),striking (JJ)
string,string (n),string (NN),strings (NNS)
string-cut,string-cut (JJ),string-cut (JJ)
strip,stripped (JJ),stripped (JJ),strip (JJ)
stripped-down,stripped-down (JJ),stripped-down (JJ)
strive,strive (v),striving (VBG),strive (JJ)
stroke,stroke (n),stroke (NN)
strong,strongly (RB),strongly (RB),strong (JJ)
stronger,stronger (JJR),stronger (JJR)
strongest,strongest (JJS),strongest (JJS)
strove,strove (JJ),strove (JJ)
struck,strike (v),struck (VBD)
structur,structure (v),structured (VBD),structures (VBZ),structure (NN),structural (JJ)
struggl,struggle (v),struggling (VBG),struggled (VBD),struggles (VBZ),struggle (NN)
strum,strum (v),strum (VBP)
strung,string (v),strung (VBP)
stub,stub (v),stubs (VBP)
stubbi,stubby (NN),stubby (NN)
stubbl,stubble (n),stubble (JJ)
stubborn,stubbornly (RB),stubbornly (RB)
stuck,stuck (NN),stuck (NN)
stud,stud (v),studded (VBD)
student,student (n),students (NNS),student (NN)
student-level,student-level (JJ),student-level (JJ)
studi,studied (JJ),studied (JJ),studying (VBG),study (NN),studies (NNS)
studio,studio (n),studios (JJ)
stuf,stuffed (NN),stuffed (NN)
stuff,stuff (n),stuff (JJ)
stuffi,stuffy (NN),stuffy (NN)
stumbl,stumble (n),stumble (JJ),stumblings (NNS),stumbled (VBD),stumbling (VBG),stumbles (NNS)
stumpi,stumpy (JJ),stumpy (JJ)
stun,stun (v),stunned (VBD)
stung,stung (NN),stung (NN)
stupid,stupidly (RB),stupidly (RB),stupidity (NN),stupid (JJ)
stutter,stutter (n),stutter (JJ),stuttering (VBG)
style,style (n),style (NN)
stylus,stylus (n),stylus (CC)
sub-leg,sub-legs (JJ),sub-legs (JJ)
sub-system,sub-system (JJ),sub-system (JJ)
subconsci,subconscious (n),subconscious (JJ)
subdivid,subdivide (v),subdivided (VBD)
subdu,subdue (v),subdued (VBN)
subject,subject (n),subject (JJ),subjective (JJ),subjects (NNS)
sublim,sublime (JJ),sublime (JJ)
submerg,submerge (v),submerged (VBN)
submiss,submissive (JJ),submissive (JJ)
submit,submits (NNS),submits (NNS)
subordin,subordinate (v),subordinates (VBZ),subordinate (JJ)
suborn,suborn (v),suborn (VBN),suborned (VBD)
subsequ,subsequently (RB),subsequently (RB)
subservi,subservience (n),subservience (NN)
subsid,subside (v),subsiding (VBG)
subsist,subsistence (n),subsistence (NN)
substanc,substance (n),substance (NN),substances (NNS)
substanti,substantially (RB),substantially (RB)
substitut,substitute (v),substitute (VBP)
subt,subtly (RB),subtly (RB)
subtext,subtext (JJ),subtext (JJ)
subtl,subtle (JJ),subtle (JJ)
subtleti,subtlety (n),subtlety (NN)
subvers,subversion (n),subversion (NN)
subvert,subvert (v),subverted (VBD)
succeed,succeed (v),succeeded (VBD),succeed (VB),succeeds (VBZ)
success,successes (VBZ),successes (VBZ),successfully (RB),succession (NN),successful (JJ),success (NN)
successor,successor (n),successor (RB)
succinct,succinct (JJ),succinct (JJ)
succumb,succumb (v),succumbing (VBG)
such,such (JJ),such (JJ)
suck,suck (v),suck (VBD),sucked (JJ),sucks (NNS)
sucked-dri,sucked-dry (JJ),sucked-dry (JJ)
sudden,sudden (JJ),sudden (JJ),suddenly (RB)
suffer,suffer (v),suffering (VBG),sufferers (NNS),sufferer (NN),suffered (VBD),suffer (VBP)
suffic,suffice (NN),suffice (NN)
suffici,sufficient (JJ),sufficient (JJ),sufficiently (RB)
suffoc,suffocating (NN),suffocating (NN),suffocate (NN),suffocated (VBN)
suggest,suggest (v),suggesting (VBG),suggest (VBP),suggests (VBZ),suggestion (JJ),suggested (VBD)
suicid,suicidally (RB),suicidally (RB),suicidal (JJ)
suit,suite (n),suite (NN),suits (NNS),suit (NN),suited (JJ),suiting (VBG)
suitabl,suitable (JJ),suitable (JJ),suitably (RB)
sullen,sullenly (RB),sullenly (RB)
sum,sum (n),sum (NN),sums (NNS)
summar,summarize (NN),summarize (NN)
summari,summary (n),summary (JJ)
summit,summit (n),summit (NN)
summon,summoned (JJ),summoned (JJ)
sun,sun (n),sun (NN)
sunder,sunder (v),sunder (VBP)
sundri,sundry (JJ),sundry (JJ)
sung,sung (n),sung (JJ)
sunk,sunk (JJ),sunk (JJ)
sunken,sink (v),sunken (VBN)
sunlight,sunlight (VBD),sunlight (VBD)
sunris,sunrise (n),sunrise (NN)
super-coloni,super-colony (JJ),super-colony (JJ)
superb,superbeings (NNS),superbeings (NNS)
superhuman,superhuman (JJ),superhuman (JJ)
superior,superior (n),superior (JJ),superiority (NN)
superst,superstate (NN),superstate (NN)
superstit,superstition (n),superstition (NN)
superstiti,superstitious (JJ),superstitious (JJ)
supervis,supervise (NN),supervise (NN)
suppli,supply (n),supply (NN),supplies (NNS)
supplic,supplicant (n),supplicants (NNS)
support,support (v),supporting (VBG),supported (VBN),support (NN)
suppos,supposedly (RB),supposedly (RB),suppose (JJ),supposed (VBD)
suppress,suppress (RB),suppress (RB),suppressed (VBN)
supremaci,supremacy (n),supremacy (NN)
sure,sure (JJ),sure (JJ),sureness (NN),surely (RB)
surest,surest (JJ),surest (JJ)
surfac,surface (v),surface (VBP),surfaces (NNS)
surg,surge (n),surge (NN),surges (NNS)
surgeri,surgery (n),surgery (NN)
surgic,surgical (JJ),surgical (JJ)
surmis,surmise (n),surmise (NN),surmises (NNS)
surpass,surpass (v),surpassing (VBG),surpassed (JJ)
surplus,surplus (n),surplus (CC)
surpris,surprised (JJ),surprised (JJ),surprising (JJ),surprises (NNS),surprisingly (RB),surprise (NN)
surreal,surreal (JJ),surreal (JJ)
surrend,surrender (n),surrender (NN)
surrog,surrogate (n),surrogate (NN)
surround,surroundings (n),surroundings (NNS),surrounds (VBZ),surrounded (VBD),surrounding (VBG)
surveil,surveillance (n),surveillance (JJ)
survey,survey (n),survey (NN),surveying (VBG)
surviv,survival (n),survival (JJ),survivable (JJ),survive (JJ),surviving (VBG),survives (VBZ),survived (VBD)
survivor,survivor (n),survivor (NN),survivors (NNS)
suspect,suspect (v),suspects (VBZ),suspected (JJ),suspecting (VBG),suspect (JJ)
suspend,suspend (v),suspended (VBD)
suspens,suspense (n),suspense (JJ),suspension (NN)
suspension-chamb,suspension-chamber (JJ),suspension-chamber (JJ)
suspici,suspicious (VB),suspicious (VB)
suspicion,suspicion (n),suspicion (NN),suspicions (NNS)
sustain,sustain (v),sustained (VBN)
susten,sustenance (n),sustenance (NN)
swallow,swallow (v),swallowed (VBD)
swap,swap (n),swap (NN)
swarm,swarm (n),swarm (NN),swarms (NNS)
swath,swathe (v),swathing (VBG),swathes (NNS),swathe (NN)
sway,sway (v),swayed (VBN),swaying (NN),sway (RB)
swear,swear (v),swearing (VBG),swear (JJ)
sweat,sweat (n),sweat (NN),sweated (VBN)
sweep,sweeping (n),sweeping (JJ),sweep (JJ)
sweet,sweet (n),sweet (JJ)
sweet-talk,sweet-talk (JJ),sweet-talk (JJ)
swell,swell (v),swelled (VBD),swelling (VBG)
swept,swept (JJ),swept (JJ)
swift,swift (n),swift (JJ),swiftly (RB)
swift-mov,swift-moving (VBG),swift-moving (VBG)
swifter,swifter (NN),swifter (NN)
swiftest,swiftest (JJS),swiftest (JJS)
swim,swim (v),swimming (VBG)
swing,swing (n),swing (NN),swinging (VBG)
swirl,swirl (v),swirled (VBD)
switch,switch (n),switch (NN),switched (VBN),switches (NNS)
swollen,swell (v),swollen (VBD)
swore,swore (NN),swore (NN)
swung,swung (JJ),swung (JJ)
sycophant,sycophantic (JJ),sycophantic (JJ)
syllabl,syllable (n),syllables (NNS)
symbiosi,symbiosis (n),symbiosis (RB)
symbol,symbol (VBP),symbol (VBP),symbols (NNS)
sympathet,sympathetic (JJ),sympathetic (JJ)
sympathi,sympathy (n),sympathy (JJ)
symposium,symposium (n),symposiums (NNS)
symptom,symptom (n),symptoms (NNS),symptom (JJ)
sync,sync (NN),sync (NN)
synthesi,synthesis (n),synthesis (NN)
synthet,synthetic (n),synthetic (JJ)
syring,syringe (n),syringe (NN)
system,system (n),systems (NNS),system (NN)
systemat,systematically (RB),systematically (RB),systematized (JJ)
tab,tab (n),tabs (IN)
tabl,table (v),tables (VBZ),table (JJ)
tablet,tablet (VBP),tablet (VBP)
taboo,taboo (n),taboo (NN)
tabula,tabula (NN),tabula (NN)
tacit,tacit (JJ),tacit (JJ)
taciturn,taciturn (NN),taciturn (NN)
tack,tack (v),tacked (VBD)
tact,tactful (NN),tactful (NN),tactfully (RB)
tactic,tactic (n),tactics (NNS)
tactician,tactician (n),tactician (JJ)
tactil,tactile (RB),tactile (RB)
tag,tag (v),tagged (VBD)
tail,tail (n),tail (NN)
tailor,tailored (JJ),tailored (JJ)
taint,taint (n),taint (NN),taints (NNS),tainted (VBN)
take,take (v),takes (VBZ),take (VB),taking (VBG)
taken,take (v),taken (VBN)
tale,tale (n),tales (NNS)
talent,talent (n),talents (NNS)
talk,talk (v),talked (VBD),talk (VBP),talking (VBG)
tall,tall (n),tall (JJ)
talli,tally (n),tally (RB),tallied (VBD)
tame,tame (JJ),tame (JJ),tamed (VBD),tamely (RB)
tamper,tampered (JJ),tampered (JJ)
tangent,tangent (n),tangent (NN)
tangl,tangle (n),tangle (RB),tangled (VBD)
tank,tank (n),tanks (NNS),tank (NN)
tantamount,tantamount (NN),tantamount (NN)
tantrum,tantrum (VBP),tantrum (VBP)
taper,taper (n),tapers (NNS),taper (IN),tapering (VBG)
tarantula-descend,tarantula-descendant (JJ),tarantula-descendant (JJ)
target,target (v),targeting (VBG),targets (NNS),targeted (VBN),target (NN)
tart,tartly (RB),tartly (RB)
task,task (n),task (NN),tasks (NNS)
tast,taste (n),taste (NN),tasted (VBN)
tatter,tatter (n),tatters (NNS),tattered (VBD)
tatti,tatty (NN),tatty (NN)
taught,teach (v),taught (VBD)
taut,taut (NN),taut (NN)
tchaikovski,tchaikovsky (n),tchaikovsky (IN)
teach,teach (n),teach (NN),teaching (VBG)
teacher,teacher (n),teachers (NNS)
team,team (n),teams (NNS),team (NN)
tear,tear (v),tearing (VBG),tears (NNS),tear (JJ)
teas,tease (v),teased (VBD),teasing (VBG)
tech,tech (n),tech (JJ)
technic,technical (n),technical (JJ),technically (RB)
techniqu,technique (n),techniques (NNS),technique (JJ)
technolog,technology (n),technologies (NNS),technological (JJ),technology (NN)
tecton,tectonics (n),tectonics (NNS)
tedious,tedious (JJ),tedious (JJ)
teeter,teeter (n),teeters (NNS)
teeth,teeth (n),teeth (JJ)
telegraph,telegraph (v),telegraphing (VBG),telegraphed (VBD)
telescop,telescope (n),telescopes (NNS)
tell,tell (v),telling (VBG),tell (VBP),tells (VBZ)
teller,teller (n),tellers (NNS)
temper,temperate (RB),temperate (RB)
temperatur,temperature (n),temperature (NN)
templ,temple (n),temples (NNS),temple (JJ)
temple-domin,temple-dominated (JJ),temple-dominated (JJ)
temple-go,temple-goer (JJ),temple-goer (JJ)
temporari,temporary (n),temporary (JJ)
temporarili,temporarily (RB),temporarily (RB)
tempt,tempt (JJ),tempt (JJ),tempted (VBN)
temptat,temptation (n),temptation (NN)
ten,ten (n),ten (JJ),tens (NNS)
ten-book,ten-book (JJ),ten-book (JJ)
ten-digit,ten-digit (JJ),ten-digit (JJ)
ten-thousand-year-old,ten-thousand-year-old (JJ),ten-thousand-year-old (JJ)
tenaci,tenacious (JJ),tenacious (JJ)
tend,tend (v),tends (VBZ),tending (VBG),tend (VBP)
tender,tender (n),tender (NN)
tendril,tendril (n),tendrils (NNS)
tenfold,tenfold (JJ),tenfold (JJ)
tens,tense (v),tensing (VBG),tense (JJ),tensely (RB)
tens-of-thousands-of-years-old,tens-of-thousands-of-years-old (JJ),tens-of-thousands-of-years-old (JJ)
tension,tensioned (VBD),tensioned (VBD),tension (NN)
tent,tented (JJ),tented (JJ),tent (NN),tents (NNS)
tentat,tentative (JJ),tentative (JJ)
tenterhook,tenterhook (n),tenterhooks (NNS)
tenth,tenth (n),tenth (NN)
terata,teras (n),terata (NNS)
term,term (n),terms (NNS),term (NN)
termin,terminal (n),terminals (NNS),terminal (JJ)
termini,terminus (n),termini (JJ)
terminus,terminus (VBP),terminus (VBP)
terraform,terraform (JJ),terraform (JJ),terraforming (VBG),terraformed (VBD),terraformer (NN)
terribl,terribly (NN),terribly (NN),terrible (JJ)
terrifi,terrify (v),terrified (VBD),terrifying (VBG)
territori,territory (n),territory (NN),territories (NNS)
terror,terror (n),terrors (NNS),terror (JJ)
ters,terse (JJ),terse (JJ),tersely (RB)
test,test (n),test (NN),testing (VBG),tested (JJ),tests (NNS)
testimoni,testimony (n),testimony (NN)
tether,tether (v),tethered (VBD)
tevik,tevik (NN),tevik (NN)
text,text (VBP),text (VBP),texts (JJ)
textbook,textbook (n),textbooks (NNS)
textur,texture (n),texture (NN),textured (VBD)
than,than (IN),than (IN)
thank,thank (JJ),thank (JJ),thankfully (RB),thanks (NNS)
thank-you,thank-you (JJ),thank-you (JJ)
that,that (IN),that (IN)
thaw,thaw (v),thawing (VBG),thawed (VBN),thaw (NN)
the,the (DT),the (DT)
their,their (PRP$),their (PRP$)
theirs,theirs (NNS),theirs (NNS)
them,them (PRP),them (PRP)
theme,theme (n),theme (NN)
themselves,themselves (PRP),themselves (PRP)
then,then (n),then (RB)
theolog,theological (JJ),theological (JJ),theology (JJ)
theologian,theologian (n),theologian (JJ),theologians (NNS)
theoret,theoretical (JJ),theoretical (JJ),theoretically (RB)
theori,theory (VBZ),theory (VBZ)
there,there (n),there (EX)
thereaft,thereafter (RB),thereafter (RB)
therebi,thereby (RB),thereby (RB)
therefor,therefore (NN),therefore (NN)
therein,therein (RB),therein (RB)
thermal,thermal (n),thermals (NNS)
thermopyla,thermopylae (n),thermopylae (NN)
these,these (DT),these (DT)
they,they (PRP),they (PRP)
thick,thick (n),thick (JJ)
thicket,thicket (n),thicket (NN)
thigh,thigh (VBP),thigh (VBP)
thin,thinly (RB),thinly (RB),thin (JJ),thins (NNS)
